"Event_rate","Scenario","Visit","CI_type","Coverage","rank","mean","q1","q3","old_rank","coverage_old","mean_old","q1_old","q3_old"
1,4,3,"LEF both",0.905,4,0.575715184391319,0.398299719003739,0.692489774100294,"LEF outcome",0.921,0.588008469208848,0.39537852434524,0.714234642032637
1,4,3,"Bootstrap",0.899,5,0.664925350229845,0.301552157048199,0.818425579922742,"Bootstrap",0.888,0.649934344465406,0.287664412326162,0.757676997558162
1,4,3,"Sandwich",0.766275346851654,6,0.444905776063359,0.290159470889726,0.517803308186153,"Sandwich",0.78594249201278,0.447325658273762,0.289280188875346,0.520937137872266
1,4,4,"Jackknife MVN",0.969407265774379,1,2.37913360552034,1.48611028059348,3.13428319236802,"Jackknife MVN",0.977401129943503,2.33097247505905,1.42002879410581,3.00294933806642
1,4,4,"Jackknife Wald",0.946,2,0.886299529927409,0.226414474536518,0.775307504328579,"Jackknife Wald",0.946,0.807730313398506,0.201596909193675,0.675470681971572
1,4,4,"Bootstrap",0.902,3,0.655590563924823,0.301658463977706,0.823766100390867,"LEF both",0.888,0.487555128838276,0.315512539452039,0.606724593308701
1,4,4,"LEF both",0.89,4,0.534057449039261,0.357497708044095,0.663752678742998,"LEF outcome",0.888,0.498092494482915,0.321129604502196,0.623496120437476
1,4,4,"LEF outcome",0.89,4,0.53601917347604,0.357654058431614,0.665094382191229,"Bootstrap",0.877,0.597180021047955,0.268289789663755,0.713765113473556
1,4,4,"Sandwich",0.794023479188901,5,0.421847754085934,0.259320449924473,0.527189471179197,"Sandwich",0.798722044728435,0.38726268071503,0.23701023600926,0.482896954423334
1,5,0,"LEF both",0.978,1,2.17469975773714,1.6326681196548,2.5134782451798,"LEF both",0.978,2.10682791383959,1.54701506856903,2.39285172938563
1,5,0,"LEF outcome",0.978,1,2.17469975755363,1.6326681196548,2.5134782451798,"LEF outcome",0.978,2.10682791379244,1.54701506896459,2.39285172938562
1,5,0,"Sandwich",0.944594594594595,2,1.55217201274417,1.29439743845984,1.70305735763638,"Sandwich",0.933147632311978,1.54638073961861,1.25294250937446,1.70838695552627
