"Visit","Scenario","CI_type","Coverage","rank","old_rank","coverage_old"
2,9,"Bootstrap",0.517,5,"Bootstrap",0.505
3,9,"LEF_both",0.838,1,"LEF_both",0.822
3,9,"LEF_outcome",0.836,2,"LEF_outcome",0.82
3,9,"Sandwich",0.757575757575758,3,"Sandwich",0.746543778801843
3,9,"Jackknife_MVN",0.73109243697479,4,"Jackknife_MVN",0.74025974025974
3,9,"Jackknife_Wald",0.713,5,"Jackknife_Wald",0.704
3,9,"Bootstrap",0.493,6,"Bootstrap",0.463
4,9,"LEF_both",0.799,1,"LEF_outcome",0.767
4,9,"LEF_outcome",0.798,2,"LEF_both",0.765
4,9,"Jackknife_Wald",0.742,3,"Jackknife_MVN",0.748917748917749
4,9,"Sandwich",0.74025974025974,4,"Jackknife_Wald",0.716
4,9,"Jackknife_MVN",0.73109243697479,5,"Sandwich",0.714285714285714
4,9,"Bootstrap",0.48,6,"Bootstrap",0.433
